Nazwa klubu,Miasto,Kraj,Rok założenia
1. FC Kaiserslautern,Kaiserslautern,Niemcy,1900
1. FC Nurnberg,Norymberga,Niemcy,1900
Aarhus GF,Aarhus,Dania,1880
AB Kopenhagen,Kopenhaga,Dania,
Aberdeen,Aberdeen,Szkocja,
Abha Club,Abha,Arabia Saudyjska,
AC Milan,Mediolan,Włochy,
AC Parma,Parma,Włochy,
AC Virtus,Acquaviva,San Marino,
Achmat Grozny,Grozny,Rosja,1946
ACR Messina,Mesyna,Włochy,
AD Alcorcon,Alcorcon,Hiszpania,1970
AE Larisa,Larisa,Grecja,1964
AE Prat,El Prat de Llobregat,Hiszpania,1945
AEK Ateny,Ateny,Grecja,
AF Elbasani,Elbasan,Albania,2021
AIK Solna,Sztokholm,Szwecja,1896
Ajax Amsterdam,Amsterdam,Holandia,1900
Al Quadsiah,Ad-Dammam,Arabia Saudyjska,
Al Shabab,Rijad,Arabia Saudyjska,
Al-Ahli Dżudda,Dżudda,Arabia Saudyjska,1937
Al-Arabi SC,Doha,Katar,1972
Al-Duhail,Doha,Katar,
Al-Ettifaq,Ad-Dammam,Arabia Saudyjska,
Al-Fateh,Al-Mubarraz,Arabia Saudyjska,
Al-Hilal,Rijad,Arabia Saudyjska,
Al-Ittihad FC,Dżudda,Arabia Saudyjska,
Al-Khaleej,Sajhat,Arabia Saudyjska,
Al-Nassr,Rijad,Arabia Saudyjska,
Al-Riffa,Ar-Rifa,Bahrajn,
Amica Wronki,Wronki,Polska,1992
Anderlecht,Bruksela,Belgia,
Antalyaspor,Antalya,Turcja,
Araz Nachiczewan,Nachiczewan,Azerbejdżan,
Aris Limassol,Limassol,Cypr,1930
Aris Saloniki,Saloniki,Grecja,
Arsenal,Londyn,Anglia,
AS Roma,Rzym,Włochy,
ASD Foligno,Foligno,Włochy,
Asteras Tripolis,Tripoli,Grecja,1931
Aston Villa,Birmingham,Anglia,
Atalanta Bergamo,Bergamo,Włochy,
Athletic Bilbao,Bilbao,Hiszpania,
Atlanta United,Atlanta,Stany Zjednoczone,
Atletic Escaldes,Les Escaldes,Andora,
Atletico Madryt,Madryt,Hiszpania,
Atletico Monzon,Monzon,Hiszpania,
Atromitos,Ateny,Grecja,
Auckland City,Auckland,Nowa Zelandia,
Audax Italiano,Santiago de Chile,Chile,
Austin FC,Austin,Stany Zjednoczone,
AZ Alkmaar,Alkmaar,Holandia,
B36 Torshavn,Torshavn,Wyspy Owcze,1936
Baniyas,Abu Zabi,Zjednoczone Emiraty Arabskie,
Barnsley FC,Barnsley,Anglia,
Basaksehir,Stambuł,Turcja,
Bayer Leverkusen,Leverkusen,Niemcy,1904
Bayern Monachium,Monachium,Niemcy,1900
Beitar Jerozolima,Jerozolima,Izrael,
Benevento Calcio,Benewent,Włochy,
Benfica,Lizbona,Portugalia,
Besiktas,Stambuł,Turcja,
Betis,Sewilla,Hiszpania,
Birkirkara FC,Birkirkara,Malta,1950
Birmingham City,Birmingham,Anglia,
Blackburn Rovers,Blackburn,Anglia,1875
Bodo/Glimt,Bodo,Norwegia,
Bodrum FK,Bodrum,Turcja,
Bologna,Bolonia,Włochy,
Bolton Wanderers,Horwich,Anglia,1874
Boluspor,Bolu,Turcja,
Borussia Dortmund,Dortmund,Niemcy,
Borussia Monchengladbach,Mönchengladbach,Niemcy,
Botew Płowdiw,Płowdiw,Bułgaria,
Bournemouth,Bournemouth,Anglia,
Brak klubu,,,
Breidablik,Kopavogur,Islandia,
Brentford,Londyn,Anglia,
Brescia Calcio,Brescia,Włochy,
Brighton,Brighton,Anglia,
Bristol City,Bristol,Anglia,
Brondby IF,Brondby,Dania,
Burnley,Burnley,Anglia,
CA Huracan,Buenos Aires,Argentyna,
Cagliari,Cagliari,Włochy,
Cardiff City,Cardiff,Walia,
Cattolica Calcio,Cattolica,Włochy,
Caykur Rizespor,Rize,Turcja,
Celje,Celje,Słowenia,
Celta Vigo,Vigo,Hiszpania,
Celtic,Glasgow,Szkocja,
Cercle Brugge,Brugia,Belgia,
Cesena FC,Cesena,Włochy,
CF Montanesa,Madryt,Hiszpania,
CF Monterrey,Monterrey,Meksyk,
CF Pachuca,Pachuca,Meksyk,
CFR 1907 Cluj,Kluż,Rumunia,
Charlotte FC,Charlotte,Stany Zjednoczone,
Charlton Athletic,Londyn,Anglia,
Chaves,Chaves,Portugalia,
Chelsea,Londyn,Anglia,
Chicago Fire,Chicago,Stany Zjednoczone,
Chindia Targoviste,Targoviste,Rumunia,
Chions,Chions,Włochy,
Chivas Guadalajara,Guadalajara,Meksyk,
Clermont Foot 63,Clermont-Ferrand,Francja,
Club America,Meksyk,Meksyk,
Club Brugge,Brugia,Belgia,
Colo Colo,Santiago de Chile,Chile,
Colorado Rapids,Denver,Stany Zjednoczone,
Como,Como,Włochy,
Corinthians,Sao Paolo,Brazylia,
Coventry City,Coventry,Anglia,
CP San Cristobal,Terrassa,Hiszpania,
CR Flamengo,Rio de Janeiro,Brazylia,
Cracovia,Kraków,Polska,
Cruz Azul,Meksyk,Meksyk,
Crystal Palace,Londyn,Anglia,
CSF Balti,Bielce,Mołdawia,
CSKA Moskwa,Moskwa,Rosja,
Cukaricki,Belgrad,Serbia,
DAC 1904 Dunajska Streda,Dunajska Streda,Słowacja,
Dalian Pro,Dalian,Chiny,
DC United,Waszyngton,Stany Zjednoczone,
Derby County,Derby,Anglia,
Dinamo Batumi,Batumi,Gruzja,
Dinamo City,Tirana,Albania,
Dinamo Tirana,Tirana,Albania,
Dinamo Zagrzeb,Zagrzeb,Chorwacja,
Djurgardens IF,Sztokholm,Szwecja,
Dundee Utd,Dundee,Szkocja,
Dynamo Kijów,Kijów,Ukraina,
Dynamo Moskwa,Moskwa,Rosja,
Egnatia,Rrogozhina,Albania,
Eintracht Brunszwik,Brunszwik,Niemcy,
Eintracht Frankfurt,Frankfurt,Niemcy,
Empoli,Empoli,Włochy,
Espanyol,Barcelona,Hiszpania,
Everton,Liverpool,Anglia,
Exeter City,Exeter,Anglia,
FA Siauliai,Szawle,Litwa,
Fakieł Woroneż,Woroneż,Rosja,
Farmalicao,Vila Nova de Famalicao,Portugalia,
Fatih Karagumruk,Stambuł,Turcja,
FC Andorra,Andora,Andora,
FC Augsburg,Augsburg,Niemcy,
FC Barcelona,Barcelona,Hiszpania,
FC Botosani,Botoszany,Rumunia,
FC Crotone,Crotone,Włochy,
FC Dallas,Frisco,Stany Zjednoczone,
FC Groningen,Groningen,Holandia,
FC Hegelmann,Czerwony Dwór,Litwa,
FC Koln,Kolonia,Niemcy,
FC Kopenhaga,Kopenhaga,Dania,
FC Porto,Porto,Portugalia,
FC Santa Coloma,Santa Coloma,Andora,
FC Sion,Sion,Szwajcaria,
FC UTA Arad,Arad,Rumunia,
FC Voluntari,Voluntari,Rumunia,
Fenerbahce,Stambuł,Turcja,
Ferencvaros,Budapeszt,Węgry,
Feyenoord,Rotterdam,Holandia,
Fiorentina,Florencja,Włochy,
FK Astana,Astana,Kazachstan,
FK Auda,Kekava,Łotwa,
FK Lipawa,Lipawa,Łotwa,
FK Ołeksandrija,Aleksandria,Ukraina,
FK Pari Niżny Nowogród,Niżny Nowogród,Rosja,
Flora Tallinn,Tallinn,Estonia,
Floriana FC,Floriana,Malta,
Folgore Falciano,Falciano,San Marino,
Fortuna Dusseldorf,Dusseldorf,Niemcy,
